date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:26	680510/680510	---M--	200	added ('OK')	image/svg+xml	etag:%2223011cf-a623e-574872c686780%22	http://smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/webfonts/fa-solid-900.svg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/webfonts/fa-solid-900.svg	(from http://smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/css/all.min.css)
21:54:28	790/790	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Apr%202019%2020:54:27%20GMT	http://smartitsource.com/utrun/html/assets/css/owl.video.play.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/css/owl.video.play.49.delayed	(from http://smartitsource.com/utrun/html/assets/css/owl.carousel.min.css)
21:54:32	180720/180720	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2223011c9-2c1f0-574872c686780%22	http://smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/webfonts/fa-solid-900.eot	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/webfonts/fa-solid-900.eot	(from http://smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/css/all.min.css)
21:54:34	180720/180720	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2223011c9-2c1f0-574872c686780%22	http://smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/webfonts/fa-solid-900.eot?	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/webfonts/fa-solid-900d41d.eot	(from http://smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/css/all.min.css)
21:54:35	39242/39242	---M--	200	added ('OK')	image/jpeg	etag:%222301208-994a-575b5e2ca6a80%22	http://smartitsource.com/utrun/html/assets/images/normal/home-bg.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/home-bg.jpg	(from http://smartitsource.com/utrun/html/assets/css/style.css)
21:54:36	25228/25228	---M--	200	added ('OK')	image/jpeg	etag:%22230120f-628c-575b5bbedaf80%22	http://smartitsource.com/utrun/html/assets/images/normal/bg-circle.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/bg-circle.jpg	(from http://smartitsource.com/utrun/html/assets/css/style.css)
21:54:43	52577/52577	---M--	200	added ('OK')	image/png	etag:%222301213-cd61-5760b2f124e80%22	http://smartitsource.com/utrun/html/assets/images/normal/line-bg.png	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/line-bg.png	(from http://smartitsource.com/utrun/html/assets/css/style.css)
21:54:44	180500/180500	---M--	200	added ('OK')	font/ttf	etag:%2223011c6-2c114-574872c686780%22	http://smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/webfonts/fa-solid-900.ttf	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/webfonts/fa-solid-900.ttf	(from http://smartitsource.com/utrun/html/assets/fontawesome-free-5.3.1/css/all.min.css)
21:54:46	18575/18575	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Sep%202018%2015:46:24%20GMT	http://smartitsource.com/utrun/html/single-blog.html	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/single-blog.html	(from http://smartitsource.com/utrun/html/blog-grid.html)
21:54:50	20980/20980	---M--	200	added ('OK')	image/jpeg	etag:%2223011e6-51f4-5760192d48780%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/1.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/1.jpg	(from http://smartitsource.com/utrun/html/blog-grid.html)
21:54:51	92517/92517	---M--	200	added ('OK')	image/jpeg	etag:%222301207-16965-575b5ddc8ad80%22	http://smartitsource.com/utrun/html/assets/images/normal/footer-bg.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/normal/footer-bg.jpg	(from http://smartitsource.com/utrun/html/assets/css/style.css)
21:54:54	23679/23679	---M--	200	added ('OK')	image/jpeg	etag:%2223011f4-5c7f-57601938ba280%22	http://smartitsource.com/utrun/html/assets/images/grid-blog/2.jpg	C:/Users/charl/Desktop/jobco/jobco/smartitsource.com/utrun/html/assets/images/grid-blog/2.jpg	(from http://smartitsource.com/utrun/html/blog-grid.html)
